Numero de components conexes de un graf geometric de num_nodes 10 amb radi R
R;NUM_CC(mitjana)
0.000000;10.000000
1.000000;10.000000
2.000000;10.000000
3.000000;10.000000
4.000000;10.000000
5.000000;10.000000
6.000000;10.000000
7.000000;10.000000
8.000000;10.000000
9.000000;10.000000
10.000000;10.000000
11.000000;10.000000
12.000000;10.000000
13.000000;10.000000
14.000000;10.000000
15.000000;10.000000
16.000000;10.000000
17.000000;10.000000
18.000000;9.700000
19.000000;9.800000
20.000000;10.000000
21.000000;9.900000
22.000000;10.000000
23.000000;9.900000
24.000000;10.000000
25.000000;10.000000
26.000000;9.900000
27.000000;9.800000
28.000000;10.000000
29.000000;10.000000
30.000000;9.700000
31.000000;9.800000
32.000000;10.000000
33.000000;10.000000
34.000000;9.800000
35.000000;10.000000
36.000000;9.800000
37.000000;10.000000
38.000000;9.800000
39.000000;9.900000
40.000000;10.000000
41.000000;9.500000
42.000000;9.600000
43.000000;9.800000
44.000000;9.700000
45.000000;9.700000
46.000000;10.000000
47.000000;9.900000
48.000000;9.700000
49.000000;9.800000
50.000000;9.600000
51.000000;9.800000
52.000000;9.900000
53.000000;9.700000
54.000000;9.800000
55.000000;9.400000
56.000000;9.600000
57.000000;9.600000
58.000000;9.600000
59.000000;9.700000
60.000000;9.300000
61.000000;9.500000
62.000000;9.600000
63.000000;9.600000
64.000000;9.700000
65.000000;9.700000
66.000000;9.300000
67.000000;9.500000
68.000000;9.300000
69.000000;9.100000
70.000000;9.900000
71.000000;9.700000
72.000000;9.200000
73.000000;9.600000
74.000000;8.900000
75.000000;9.500000
76.000000;9.000000
77.000000;9.300000
78.000000;9.400000
79.000000;9.000000
80.000000;9.300000
81.000000;9.000000
82.000000;9.200000
83.000000;9.000000
84.000000;8.700000
85.000000;9.000000
86.000000;8.900000
87.000000;9.300000
88.000000;8.800000
89.000000;8.900000
90.000000;8.900000
91.000000;9.100000
92.000000;8.700000
93.000000;8.900000
94.000000;8.700000
95.000000;8.700000
96.000000;8.200000
97.000000;8.900000
98.000000;8.300000
99.000000;8.600000
100.000000;9.300000
101.000000;9.100000
102.000000;8.900000
103.000000;9.000000
104.000000;9.200000
105.000000;8.400000
106.000000;8.400000
107.000000;8.200000
108.000000;8.300000
109.000000;8.800000
110.000000;8.500000
111.000000;8.200000
112.000000;8.500000
113.000000;7.700000
114.000000;9.000000
115.000000;8.400000
116.000000;8.300000
117.000000;7.700000
118.000000;7.700000
119.000000;8.100000
120.000000;8.700000
121.000000;8.400000
122.000000;8.100000
123.000000;8.300000
124.000000;7.000000
125.000000;8.300000
126.000000;8.100000
127.000000;8.000000
128.000000;7.700000
129.000000;7.600000
130.000000;8.100000
131.000000;8.000000
132.000000;7.800000
133.000000;7.700000
134.000000;7.900000
135.000000;8.000000
136.000000;8.400000
137.000000;7.600000
138.000000;8.000000
139.000000;7.900000
