Numero de components conexes de un graf geometric conex de num_nodes 200 despres d'aplicanr percolacio per arestes amb probabilitat PROB_PERC
PROB_PERC;NUM_CC(mitjana)
0.000000;200.000000
0.010000;184.900000
0.020000;170.400000
0.030000;153.400000
0.040000;141.100000
0.050000;126.200000
0.060000;111.300000
0.070000;100.200000
0.080000;88.300000
0.090000;77.100000
0.100000;66.300000
0.110000;59.400000
0.120000;47.600000
0.130000;44.500000
0.140000;35.200000
0.150000;30.300000
0.160000;27.800000
0.170000;20.800000
0.180000;20.300000
0.190000;18.600000
0.200000;16.700000
0.210000;12.800000
0.220000;12.200000
0.230000;10.900000
0.240000;8.200000
0.250000;9.200000
0.260000;8.000000
0.270000;6.500000
0.280000;7.400000
0.290000;6.200000
0.300000;5.100000
0.310000;4.300000
0.320000;4.600000
0.330000;4.300000
0.340000;3.400000
0.350000;3.500000
0.360000;3.700000
0.370000;3.400000
0.380000;2.900000
0.390000;2.800000
0.400000;3.300000
0.410000;3.700000
0.420000;3.900000
0.430000;2.500000
0.440000;1.800000
0.450000;2.200000
0.460000;2.200000
0.470000;2.600000
0.480000;2.200000
0.490000;2.200000
0.500000;2.000000
0.510000;1.800000
0.520000;2.100000
0.530000;2.200000
0.540000;1.700000
0.550000;1.500000
0.560000;1.300000
0.570000;1.600000
0.580000;1.300000
0.590000;1.500000
0.600000;1.400000
0.610000;1.300000
0.620000;1.500000
0.630000;1.100000
0.640000;1.300000
0.650000;1.300000
0.660000;1.400000
0.670000;1.400000
0.680000;1.200000
0.690000;1.200000
0.700000;1.100000
0.710000;1.500000
0.720000;1.000000
0.730000;1.000000
0.740000;1.100000
0.750000;1.100000
0.760000;1.200000
0.770000;1.100000
0.780000;1.100000
0.790000;1.200000
0.800000;1.000000
0.810000;1.000000
0.820000;1.000000
0.830000;1.000000
0.840000;1.000000
0.850000;1.100000
0.860000;1.100000
0.870000;1.000000
0.880000;1.000000
0.890000;1.000000
0.900000;1.000000
0.910000;1.000000
0.920000;1.000000
0.930000;1.000000
0.940000;1.000000
0.950000;1.000000
0.960000;1.000000
0.970000;1.000000
0.980000;1.000000
0.990000;1.000000
